,district,students_in_grade_12_19,sat_19_grade_12_takers,sat_19_grade_12_at_erwb_benchmark,sat_19_grade_12_at_math_benchmark,students_in_grade_11_19,sat_19_grade_11_takers,sat_19_grade_11_at_erwb_benchmark,sat_19_grade_11_at_math_benchmark,sat_19_grade_12_at_both_benchmarks,sat_19_grade_11_at_both_benchmarks,sat_19_g12_participation,sat_19_g11_participation,students_in_grade_12_20,sat_20_grade_12_takers,sat_20_grade_12_at_erwb_benchmark,sat_20_grade_12_at_math_benchmark,students_in_grade_11_20,sat_20_grade_11_takers,sat_20_grade_11_at_erwb_benchmark,sat_20_grade_11_at_math_benchmark,sat_20_grade_12_at_both_benchmarks,sat_20_grade_11_at_both_benchmarks,sat_20_g12_participation,sat_20_g11_Participation
418,Lucerne Valley Unified,506.0,26.0,0.6537999999999999,0.3077,721.0,24.0,0.8332999999999999,0.625,0.2692,0.00625,0.05138339920948617,0.033287101248266296,501,44,0.6591,0.3636,955,7,,,0.3636,,0.08782435129740519,0.007329842931937173
419,Borrego Springs Unified,309.0,31.0,0.5484,0.129,753.0,10.0,,,0.129,,0.10032362459546926,0.013280212483399735,309,31,0.35479999999999995,0.1613,730,4,,,0.129,,0.10032362459546926,0.005479452054794521
420,Manteca Unified,1925.0,529.0,0.7221,0.3837,1923.0,353.0,0.813,0.6034,0.3667,0.005778999999999999,0.27480519480519483,0.18356734269370775,1929,466,0.6995999999999999,0.4077,1911,20,0.7,0.75,0.38630000000000003,0.65,0.24157594608605495,0.010465724751439037
421,Lucia Mar Unified,865.0,202.0,0.8713,0.599,809.0,284.0,0.8626999999999999,0.7182999999999999,0.5941,0.0067610000000000005,0.23352601156069364,0.3510506798516687,838,236,0.8008,0.6186,829,42,0.9048,0.7857,0.589,0.7857,0.28162291169451076,0.05066344993968637
422,Jefferson Elementary,94.0,10.0,,,142.0,3.0,,,,,0.10638297872340426,0.02112676056338028,137,16,0.9375,0.4375,130,2,,,0.4375,,0.11678832116788321,0.015384615384615385
423,South San Francisco Unified,682.0,236.0,0.8305,0.6653,671.0,125.0,0.872,0.736,0.6397999999999999,0.00728,0.3460410557184751,0.18628912071535023,663,211,0.763,0.5829,692,18,1.0,0.9444,0.5403,0.9444,0.31825037707390647,0.02601156069364162
424,Los Gatos-Saratoga Union High,,,,,,,,,,,,,892,294,0.9592,0.9116,885,269,0.9851000000000001,0.9814,0.8878,0.9740000000000001,0.3295964125560538,0.303954802259887
425,Anderson Union High,444.0,76.0,0.7368000000000001,0.43420000000000003,425.0,74.0,0.8243,0.6486,0.3947,0.006081,0.17117117117117117,0.17411764705882352,402,61,0.7376999999999999,0.5902000000000001,423,3,,,0.541,,0.1517412935323383,0.0070921985815602835
426,Vacaville Unified,975.0,351.0,0.7835,0.5726,1139.0,307.0,0.8697,0.7264,0.5356000000000001,0.007036,0.36,0.26953467954345917,1021,355,0.8056,0.5661999999999999,1061,42,0.9048,0.7381,0.5379999999999999,0.7143,0.3476983349657199,0.03958529688972667
427,Liberty Elementary,70.0,1.0,,,84.0,1.0,,,,,0.014285714285714285,0.011904761904761904,90,3,,,87,0,,,,,0.03333333333333333,0.0
428,Roseland,147.0,49.0,0.5306000000000001,0.3469,173.0,101.0,0.703,0.43560000000000004,0.3265,0.004059,0.3333333333333333,0.5838150289017341,156,31,0.5484,0.3871,189,0,,,0.35479999999999995,,0.1987179487179487,0.0
429,Windsor Unified,466.0,140.0,0.8643000000000001,0.5643,464.0,153.0,0.915,0.6667000000000001,0.5357,0.006404999999999999,0.30042918454935624,0.3297413793103448,476,122,0.7623000000000001,0.6065999999999999,442,48,0.8957999999999999,0.8125,0.5738,0.7707999999999999,0.25630252100840334,0.1085972850678733
430,Oakdale Joint Unified,437.0,92.0,0.7826000000000001,0.7391,426.0,117.0,0.9231,0.7179000000000001,0.6522,0.0070090000000000005,0.21052631578947367,0.2746478873239437,426,89,0.8315,0.6629,486,12,,,0.618,,0.20892018779342722,0.024691358024691357
431,Turlock Unified,1240.0,393.0,0.7608,0.4758,1244.0,297.0,0.8586,0.6734,0.45289999999999997,0.006531999999999999,0.31693548387096776,0.2387459807073955,1269,369,0.7615000000000001,0.4607,1274,40,0.95,0.8,0.4526,0.8,0.2907801418439716,0.03139717425431711
432,Sutter County Office of Education,75.0,0.0,,,31.0,0.0,,,,,0.0,0.0,81,0,,,25,0,,,,,0.0,0.0
433,Trinity Alps Unified,93.0,10.0,,,78.0,29.0,0.7931,0.6552,,0.006207000000000001,0.10752688172043011,0.3717948717948718,67,8,,,94,6,,,,,0.11940298507462686,0.06382978723404255
434,Tuolumne County Superintendent of Schools,34.0,0.0,,,4.0,0.0,,,,,0.0,0.0,25,0,,,16,0,,,,,0.0,0.0
435,Yolo County Office of Education,87.0,0.0,,,53.0,0.0,,,,,0.0,0.0,54,0,,,55,0,,,,,0.0,0.0
