,district,students_in_grade_12_19,act_test_takers_19,act_read_19,act_eng_19,act_math_19,act_sci_19,act_comp_over_21_19,act_19_participation,score,education_spend_per_student,avg_household_income,african_american,am_indian_or_alaska_native,asian,filipino,hispanic_or_latino,pacific_islander,white,two_or_more_races,not_reported
156,Las Virgenes Unified,986.0,322.0,27.0,27.0,25.0,25.0,0.84,0.3265720081135903,55.45,11420.0,132023.0,0.019,0.005,0.064,0.009000000000000001,0.127,0.001,0.7070000000000001,0.057,0.011000000000000001
157,Lawndale Elementary,126.0,96.0,17.0,17.0,18.0,17.0,0.2,0.7619047619047619,4.3,16218.0,63773.0,0.099,0.0,0.047,0.006999999999999999,0.763,0.006999999999999999,0.044000000000000004,0.017,0.016
158,Lennox,296.0,232.0,17.0,16.0,17.0,17.0,0.17,0.7837837837837838,31.31,14978.0,49978.0,0.01,0.001,0.003,0.001,0.943,0.002,0.005,0.0,0.035
159,Long Beach Unified,5929.0,582.0,23.0,22.0,22.0,22.0,0.57,0.0981615786810592,22.05,13175.0,65851.0,0.126,0.002,0.07400000000000001,0.032,0.5820000000000001,0.012,0.125,0.043,0.005
160,Los Angeles Unified,41873.0,9336.0,19.0,18.0,19.0,19.0,0.3,0.22295990256251044,10.41,15793.0,61375.0,0.076,0.002,0.036000000000000004,0.019,0.742,0.002,0.102,0.016,0.005
161,Lynwood Unified,1072.0,160.0,18.0,17.0,17.0,17.0,0.18,0.14925373134328357,38.88,13451.0,52007.0,0.047,0.001,0.002,0.0,0.94,0.002,0.006,0.001,0.0
162,Monrovia Unified,473.0,53.0,21.0,19.0,19.0,19.0,0.3,0.11205073995771671,1.61,13518.0,79271.0,0.047,0.002,0.063,0.026000000000000002,0.645,0.001,0.174,0.043,0.0
163,Montebello Unified,2333.0,276.0,19.0,18.0,18.0,19.0,0.27,0.11830261465923704,34.43,13993.0,52592.0,0.003,0.002,0.02,0.004,0.953,0.001,0.011000000000000001,0.002,0.005
164,Norwalk-La Mirada Unified,1403.0,171.0,19.0,18.0,18.0,19.0,0.33,0.12188168210976479,0.39,13962.0,77957.0,0.023,0.002,0.043,0.027999999999999997,0.797,0.004,0.071,0.019,0.012
165,Palmdale Elementary,402.0,31.0,21.0,21.0,20.0,21.0,0.48,0.07711442786069651,31.19,13697.0,56472.0,0.136,0.006,0.005,0.006999999999999999,0.7709999999999999,0.002,0.052000000000000005,0.018000000000000002,0.002
166,Palos Verdes Peninsula Unified,1118.0,426.0,27.0,28.0,27.0,26.0,0.88,0.3810375670840787,89.27,12484.0,151740.0,0.02,0.002,0.27899999999999997,0.021,0.141,0.002,0.42700000000000005,0.09699999999999999,0.012
167,Paramount Unified,1281.0,61.0,21.0,21.0,21.0,22.0,0.57,0.047619047619047616,25.66,13949.0,59304.0,0.077,0.001,0.008,0.004,0.883,0.006,0.01,0.009000000000000001,0.001
168,Pasadena Unified,1544.0,166.0,22.0,21.0,21.0,21.0,0.53,0.10751295336787564,12.96,14190.0,86695.0,0.111,0.002,0.054000000000000006,0.019,0.578,0.002,0.191,0.037000000000000005,0.005
169,Pomona Unified,1897.0,266.0,19.0,18.0,18.0,19.0,0.31,0.14022140221402213,10.84,15089.0,64578.0,0.04,0.002,0.036000000000000004,0.01,0.865,0.002,0.028999999999999998,0.009000000000000001,0.006999999999999999
170,San Marino Unified,275.0,95.0,28.0,29.0,29.0,27.0,0.91,0.34545454545454546,108.59,14406.0,156429.0,0.006999999999999999,0.002,0.586,0.019,0.04,0.001,0.22699999999999998,0.113,0.006
171,Santa Monica-Malibu Unified,899.0,280.0,27.0,26.0,25.0,25.0,0.79,0.3114571746384872,48.97,16566.0,101476.0,0.061,0.002,0.062,0.006999999999999999,0.295,0.002,0.495,0.069,0.008
172,South Pasadena Unified,370.0,93.0,28.0,27.0,27.0,27.0,0.84,0.25135135135135134,17.16,11279.0,104370.0,0.015,0.001,0.32799999999999996,0.025,0.23199999999999998,0.0,0.249,0.127,0.023
173,Temple City Unified,518.0,90.0,27.0,27.0,27.0,26.0,0.89,0.17374517374517376,22.12,11524.0,74057.0,0.005,0.001,0.645,0.018000000000000002,0.223,0.002,0.062,0.04,0.003
174,Torrance Unified,2115.0,440.0,25.0,24.0,25.0,24.0,0.76,0.20803782505910165,2.03,11194.0,93597.0,0.040999999999999995,0.001,0.28800000000000003,0.05,0.32,0.004,0.201,0.087,0.006
175,West Covina Unified,1194.0,42.0,24.0,24.0,23.0,23.0,0.69,0.035175879396984924,17.01,14780.0,86748.0,0.078,0.004,0.09,0.033,0.6709999999999999,0.004,0.10300000000000001,0.016,0.002
176,Whittier Union High,3048.0,390.0,20.0,20.0,20.0,20.0,0.43,0.1279527559055118,9.45,15862.0,75733.0,0.013000000000000001,0.002,0.013999999999999999,0.012,0.892,0.002,0.061,0.002,0.001
177,William S. Hart Union High,4252.0,748.0,26.0,25.0,24.0,24.0,0.78,0.17591721542803387,21.78,11989.0,104240.0,0.039,0.002,0.07400000000000001,0.05,0.42200000000000004,0.002,0.364,0.045,0.002
178,Compton Unified,1361.0,795.0,16.0,14.0,16.0,15.0,0.07,0.5841293166789125,23.51,15206.0,54613.0,0.193,0.002,0.001,0.0,0.7829999999999999,0.005,0.002,0.004,0.01
180,Rowland Unified,1186.0,119.0,22.0,21.0,21.0,21.0,0.49,0.10033726812816189,4.33,13586.0,76914.0,0.027000000000000003,0.001,0.201,0.067,0.6409999999999999,0.003,0.037000000000000005,0.016,0.006999999999999999
181,Walnut Valley Unified,1424.0,316.0,28.0,28.0,28.0,27.0,0.87,0.22191011235955055,16.19,11162.0,104237.0,0.013999999999999999,0.0,0.601,0.057999999999999996,0.226,0.004,0.055999999999999994,0.039,0.001
182,San Gabriel Unified,619.0,72.0,27.0,28.0,26.0,26.0,0.88,0.11631663974151858,13.16,13559.0,70511.0,0.013999999999999999,0.001,0.46299999999999997,0.019,0.40700000000000003,0.002,0.051,0.023,0.019
184,Manhattan Beach Unified,610.0,269.0,28.0,28.0,27.0,27.0,0.91,0.44098360655737706,107.33,14901.0,153023.0,0.011000000000000001,0.001,0.10800000000000001,0.012,0.124,0.001,0.598,0.138,0.006
185,Redondo Beach Unified,757.0,267.0,24.0,24.0,23.0,24.0,0.72,0.3527080581241744,28.28,11081.0,113596.0,0.031,0.003,0.107,0.018000000000000002,0.242,0.001,0.446,0.14800000000000002,0.004
188,Alhambra Unified,1902.0,238.0,25.0,25.0,25.0,24.0,0.73,0.12513144058885384,20.86,14392.0,60647.0,0.006,0.001,0.501,0.024,0.409,0.001,0.021,0.027000000000000003,0.011000000000000001
189,Wiseburn Unified,428.0,120.0,20.0,20.0,19.0,20.0,0.36,0.2803738317757009,30.05,12098.0,109818.0,0.14,0.002,0.045,0.013000000000000001,0.532,0.005,0.163,0.073,0.027000000000000003
