,district,students_in_grade_12_19,sat_19_grade_12_takers,sat_19_grade_12_at_erwb_benchmark,sat_19_grade_12_at_math_benchmark,students_in_grade_11_19,sat_19_grade_11_takers,sat_19_grade_11_at_erwb_benchmark,sat_19_grade_11_at_math_benchmark,sat_19_grade_12_at_both_benchmarks,sat_19_grade_11_at_both_benchmarks,sat_19_g12_participation,sat_19_g11_participation,score,education_spend_per_student,avg_household_income,african_american,am_indian_or_alaska_native,asian,filipino,hispanic_or_latino,pacific_islander,white,two_or_more_races,not_reported
113,San Rafael City High,634.0,245.0,0.7959,0.6,674.0,279.0,0.8961,0.7491,0.5796,0.007240000000000001,0.3864353312302839,0.413946587537092,31.7,14820.0,97421.0,0.013000000000000001,0.003,0.042,0.005,0.5770000000000001,0.002,0.33,0.026000000000000002,0.002
115,North Monterey County Unified,369.0,111.0,0.5766,0.2703,329.0,68.0,0.6470999999999999,0.3824,0.2703,0.003529,0.3008130081300813,0.2066869300911854,3.83,13821.0,81786.0,0.002,0.002,0.003,0.006,0.8909999999999999,0.002,0.08900000000000001,0.004,0.002
116,Brea-Olinda Unified,506.0,205.0,0.9170999999999999,0.7512000000000001,433.0,142.0,0.9366,0.8944,0.722,0.008803,0.4051383399209486,0.3279445727482679,2.23,10352.0,94654.0,0.015,0.001,0.247,0.034,0.382,0.003,0.27699999999999997,0.04,0.002
117,Orange Unified,2261.0,1870.0,0.5631,0.3791,2100.0,426.0,0.9412999999999999,0.7911,0.3583,0.007864,0.8270676691729323,0.20285714285714285,11.98,11918.0,97336.0,0.013000000000000001,0.002,0.099,0.019,0.5660000000000001,0.003,0.255,0.032,0.011000000000000001
118,Los Alamitos Unified,759.0,319.0,0.9154000000000001,0.7334999999999999,761.0,359.0,0.9443,0.8134,0.7116,0.00805,0.42028985507246375,0.47174770039421815,4.91,11866.0,85092.0,0.025,0.001,0.14,0.027999999999999997,0.27699999999999997,0.006999999999999999,0.43,0.08800000000000001,0.005
119,Tahoe-Truckee Unified,303.0,105.0,0.7905,0.6667000000000001,306.0,145.0,0.8621,0.8207,0.619,0.007724,0.3465346534653465,0.4738562091503268,35.42,18822.0,80154.0,0.003,0.002,0.005,0.0,0.36,0.001,0.585,0.036000000000000004,0.006999999999999999
120,Hemet Unified,1858.0,1195.0,0.4879,0.24100000000000002,1725.0,238.0,0.7269,0.47479999999999994,0.22760000000000002,0.00458,0.6431646932185145,0.13797101449275362,37.2,14843.0,46293.0,0.086,0.008,0.01,0.009000000000000001,0.632,0.003,0.21100000000000002,0.040999999999999995,0.0
121,Center Joint Unified,354.0,53.0,0.8301999999999999,0.6792,319.0,41.0,0.878,0.8049,0.6225999999999999,0.007561,0.1497175141242938,0.12852664576802508,9.48,12916.0,76455.0,0.11599999999999999,0.006999999999999999,0.075,0.027999999999999997,0.312,0.013000000000000001,0.37,0.078,0.001
122,Barstow Unified,394.0,44.0,0.6591,0.4318,367.0,53.0,0.7547,0.6981,0.4318,0.005849,0.1116751269035533,0.1444141689373297,55.26,12804.0,43117.0,0.196,0.006999999999999999,0.006,0.005,0.5379999999999999,0.012,0.18,0.055,0.0
123,Victor Valley Union High,1911.0,501.0,0.6267,0.2894,2010.0,1520.0,0.45659999999999995,0.1809,0.2735,0.0017499999999999998,0.2621664050235479,0.7562189054726368,33.7,13948.0,53356.0,0.16699999999999998,0.004,0.017,0.01,0.677,0.006,0.07400000000000001,0.035,0.01
124,Snowline Joint Unified,560.0,138.0,0.8043,0.4855,541.0,130.0,0.8538,0.6692,0.47100000000000003,0.0065379999999999995,0.24642857142857144,0.24029574861367836,27.26,12695.0,64394.0,0.047,0.005,0.011000000000000001,0.004,0.528,0.002,0.317,0.013000000000000001,0.073
125,San Francisco Unified,4399.0,2256.0,0.6999,0.6117,4430.0,2042.0,0.8334999999999999,0.7669,0.5532,0.007258,0.5128438281427598,0.46094808126410836,68.26,17228.0,112449.0,0.07400000000000001,0.003,0.298,0.038,0.319,0.008,0.14400000000000002,0.064,0.051
