,district,score,education_spend_per_student,avg_household_income,african_american,am_indian_or_alaska_native,asian,filipino,hispanic_or_latino,pacific_islander,white,two_or_more_races,not_reported
660,Red Bluff Joint Union High,45.64,14141,43553,0.009000000000000001,0.027999999999999997,0.008,0.001,0.341,0.002,0.5710000000000001,0.04,0.001
661,Red Bluff Union Elementary,61.26,12455,40419,0.013999999999999999,0.027000000000000003,0.013000000000000001,0.002,0.40399999999999997,0.004,0.49700000000000005,0.038,0.001
662,Redding Elementary,43.93,12853,51265,0.024,0.040999999999999995,0.026000000000000002,0.002,0.17800000000000002,0.004,0.6509999999999999,0.071,0.004
663,Redlands Unified,15.89,11919,76699,0.062,0.003,0.084,0.025,0.519,0.004,0.252,0.048,0.003
664,Redondo Beach Unified,28.28,11081,113596,0.031,0.003,0.107,0.018000000000000002,0.242,0.001,0.446,0.14800000000000002,0.004
665,Redwood City Elementary,48.02,14232,112451,0.011000000000000001,0.001,0.038,0.008,0.7020000000000001,0.011000000000000001,0.188,0.039,0.003
666,Reed Union Elementary,135.91,17357,161892,0.006,0.002,0.065,0.004,0.073,0.0,0.7659999999999999,0.085,0.0
667,Reeds Creek Elementary,50.17,10047,60682,0.005,0.025,0.01,0.0,0.129,0.015,0.7759999999999999,0.04,0.0
668,Reef-Sunset Unified,49.21,13896,42136,0.0,0.001,0.005,0.0,0.971,0.001,0.021,0.0,0.0
669,Rescue Union Elementary,24.46,10836,111996,0.009000000000000001,0.003,0.057,0.018000000000000002,0.16699999999999998,0.003,0.6990000000000001,0.045,0.0
670,Rialto Unified,22.65,14090,60828,0.083,0.002,0.006,0.004,0.861,0.004,0.027999999999999997,0.012,0.0
671,Richfield Elementary,67.55,10484,45625,0.0,0.004,0.009000000000000001,0.004,0.44,0.0,0.521,0.021,0.0
672,Richgrove Elementary,53.81,17168,22356,0.0,0.002,0.013999999999999999,0.013999999999999999,0.968,0.0,0.002,0.0,0.0
673,Richland Union Elementary,36.53,15082,45592,0.004,0.0,0.015,0.0,0.91,0.001,0.069,0.0,0.001
674,Richmond Elementary,18.18,9358,87813,0.0,0.013999999999999999,0.0,0.0,0.09,0.005,0.8340000000000001,0.052000000000000005,0.005
676,Rincon Valley Union Elementary,10.42,13945,86045,0.027999999999999997,0.016,0.057,0.012,0.295,0.013000000000000001,0.527,0.04,0.013000000000000001
677,Rio Bravo-Greeley Union Elementary,7.5,10043,103403,0.006,0.004,0.012,0.005,0.473,0.004,0.48200000000000004,0.013999999999999999,0.0
678,Rio Dell Elementary,56.36,12889,41875,0.01,0.017,0.006999999999999999,0.0,0.19399999999999998,0.0,0.706,0.06,0.006999999999999999
679,Rio Elementary,0.09,12410,85938,0.012,0.001,0.013999999999999999,0.033,0.8590000000000001,0.002,0.063,0.018000000000000002,0.0
