name,total_students,african_american,american_indian_or_alaska_native,asian,filipino,hispanic_or_latino,pacific_islander,white,two _or_more_races,not_reported
Saddleback Valley Unified,"24,954",1.20%,0.10%,8.70%,3.50%,37.30%,0.20%,40.40%,7.40%,1.20%
Santa Ana Unified,"46,593",0.20%,0.30%,2.00%,0.20%,95.90%,0.20%,0.90%,0.30%,0.10%
Savanna Elementary,"1,949",3.10%,0.20%,13.30%,5.30%,60.30%,1.00%,10.50%,4.40%,1.90%
SBE - Magnolia Science Academy Santa Ana,544,2.20%,0.20%,2.00%,0.00%,89.70%,0.00%,5.30%,0.60%,0.00%
Tustin Unified,"22,761",1.60%,0.10%,20.70%,2.30%,46.60%,0.30%,22.90%,5.00%,0.50%
Westminster,"8,607",0.70%,0.20%,37.20%,1.00%,44.90%,0.60%,11.70%,3.00%,0.70%
Ackerman Charter,571,0.50%,0.20%,0.90%,0.90%,16.10%,0.00%,72.20%,8.20%,1.10%
Alta-Dutch Flat Union Elementary,82,0.00%,0.00%,0.00%,1.20%,11.00%,0.00%,84.10%,2.40%,1.20%
Auburn Union Elementary,"1,741",1.30%,1.40%,1.30%,0.90%,33.50%,0.20%,40.70%,5.10%,15.70%
Colfax Elementary,342,0.00%,1.80%,0.30%,0.60%,10.80%,0.00%,79.20%,6.70%,0.60%
Dry Creek Joint Elementary,"6,335",3.60%,0.50%,8.70%,2.00%,23.30%,0.70%,50.00%,11.10%,0.10%
Eureka Union,"3,149",1.70%,0.40%,9.90%,1.70%,13.70%,0.20%,59.20%,9.60%,3.70%
Foresthill Union Elementary,392,1.50%,0.50%,0.50%,0.30%,12.20%,0.80%,78.60%,3.10%,2.60%
Loomis Union Elementary,"2,847",0.40%,0.60%,2.50%,0.60%,11.70%,0.10%,77.70%,6.00%,0.50%
Newcastle Elementary,"2,048",1.00%,0.40%,16.30%,4.80%,12.50%,0.10%,56.30%,6.30%,2.10%
Placer County Office of Education,449,3.30%,1.30%,1.30%,0.90%,25.20%,0.40%,59.90%,5.80%,1.80%
Placer Hills Union Elementary,718,0.10%,1.40%,0.30%,0.10%,7.00%,0.00%,86.20%,3.60%,1.30%
Placer Union High,"4,071",0.70%,0.80%,1.40%,0.60%,15.00%,0.10%,75.10%,4.90%,1.30%
Rocklin Unified,"13,282",1.50%,0.30%,10.20%,3.50%,16.70%,0.30%,57.70%,8.30%,1.50%
Roseville City Elementary,"11,008",2.40%,0.40%,8.20%,5.90%,23.90%,0.40%,50.20%,8.30%,0.40%
Roseville Joint Union High,"12,109",3.50%,0.70%,9.50%,3.90%,20.10%,0.60%,55.50%,4.60%,1.60%
Tahoe-Truckee Unified,"4,159",0.30%,0.20%,0.50%,0.00%,36.00%,0.10%,58.50%,3.60%,0.70%
Western Placer Unified,"10,623",2.20%,0.70%,2.50%,2.10%,27.50%,0.50%,57.80%,5.20%,1.30%
Plumas County Office of Education,20,5.00%,5.00%,0.00%,0.00%,15.00%,0.00%,50.00%,20.00%,5.00%
Plumas Unified,"2,035",1.00%,3.70%,0.50%,0.20%,17.10%,0.00%,68.00%,7.70%,1.80%
Alvord Unified,"17,682",3.80%,0.20%,3.70%,1.50%,80.00%,0.50%,8.70%,1.40%,0.20%
Banning Unified,"4,440",7.30%,2.60%,4.10%,1.00%,71.10%,0.10%,10.90%,2.80%,0.00%
Beaumont Unified,"14,896",5.60%,0.50%,2.40%,2.30%,51.30%,0.20%,31.70%,5.10%,0.90%
California School for the Deaf-Riverside (State Special Schl),342,4.70%,0.00%,2.00%,1.50%,62.90%,0.30%,25.70%,2.30%,0.60%
Coachella Valley Unified,"17,539",0.20%,0.50%,0.10%,0.00%,97.90%,0.00%,1.00%,0.20%,0.20%
Corona-Norco Unified,"51,318",5.80%,0.30%,11.30%,3.20%,53.60%,0.40%,22.50%,2.10%,0.70%
Desert Center Unified,20,0.00%,5.00%,0.00%,0.00%,60.00%,0.00%,25.00%,10.00%,0.00%
Desert Sands Unified,"26,982",1.50%,0.20%,2.00%,0.70%,74.60%,0.10%,17.10%,2.00%,1.90%
Hemet Unified,"21,573",8.60%,0.80%,1.00%,0.90%,63.20%,0.30%,21.10%,4.10%,0.00%
Jurupa Unified,"18,768",2.00%,0.10%,1.30%,0.50%,86.50%,0.20%,7.30%,0.80%,1.20%
Lake Elsinore Unified,"21,081",3.90%,0.30%,1.80%,1.50%,63.30%,0.30%,23.90%,4.70%,0.30%
Menifee Union Elementary,"12,142",5.90%,0.20%,2.10%,3.80%,47.00%,0.50%,32.80%,6.60%,1.10%
Moreno Valley Unified,"31,597",13.00%,0.20%,1.40%,1.20%,73.80%,0.70%,6.30%,3.00%,0.50%
Murrieta Valley Unified,"22,950",5.40%,0.30%,4.10%,3.70%,39.90%,0.60%,36.90%,8.10%,1.00%
Nuview Union,"2,157",2.20%,0.10%,0.80%,0.60%,80.70%,0.30%,13.80%,1.50%,0.00%
Palm Springs Unified,"21,705",4.50%,0.50%,0.80%,1.90%,79.90%,0.10%,9.90%,2.50%,0.00%
Palo Verde Unified,"3,805",12.20%,0.60%,1.30%,0.30%,61.60%,0.30%,20.10%,2.50%,1.10%
Perris Elementary,"5,442",6.40%,0.10%,0.50%,0.30%,88.70%,0.20%,2.60%,0.30%,1.00%
Perris Union High,"10,910",5.30%,0.20%,1.30%,2.40%,71.20%,0.40%,14.70%,4.40%,0.10%
Riverside County Office of Education,"12,472",8.30%,0.60%,1.10%,1.00%,51.00%,0.30%,31.80%,5.60%,0.30%
Riverside Unified,"40,083",6.20%,0.30%,3.50%,1.20%,65.90%,0.30%,19.10%,2.10%,1.30%
Romoland Elementary,"4,064",5.30%,0.30%,1.50%,1.60%,70.80%,0.30%,17.60%,2.40%,0.20%
San Jacinto Unified,"11,462",7.90%,1.60%,0.90%,0.80%,73.80%,0.60%,11.50%,2.70%,0.10%
Temecula Valley Unified,"28,344",3.50%,0.70%,4.60%,5.10%,35.30%,0.30%,40.50%,9.90%,0.10%
Val Verde Unified,"19,303",11.70%,0.30%,1.50%,1.20%,78.40%,0.20%,4.20%,1.80%,0.60%
Arcohe Union Elementary,466,1.50%,0.60%,3.40%,0.20%,42.30%,0.40%,45.10%,6.00%,0.40%
California Education Authority (CEA) Headquarters,281,25.30%,0.70%,1.40%,0.70%,64.10%,0.00%,6.00%,0.00%,1.80%
Center Joint Unified,"4,162",11.60%,0.70%,7.50%,2.80%,31.20%,1.30%,37.00%,7.80%,0.10%
Elk Grove Unified,"63,947",10.90%,0.40%,26.50%,5.90%,27.60%,1.80%,17.50%,9.30%,0.00%
Elverta Joint Elementary,271,7.40%,1.10%,2.60%,0.40%,39.50%,0.00%,39.90%,9.20%,0.00%
Folsom-Cordova Unified,"20,096",4.70%,0.30%,18.30%,2.30%,22.70%,0.80%,41.60%,9.20%,0.20%
Galt Joint Union Elementary,"3,332",1.40%,0.50%,2.90%,1.20%,59.30%,0.60%,32.10%,2.00%,0.20%
Galt Joint Union High,"2,209",1.40%,0.00%,2.10%,0.40%,57.00%,0.10%,33.40%,4.60%,0.80%
Natomas Unified,"15,686",16.30%,0.50%,17.60%,4.70%,32.00%,1.70%,16.00%,11.00%,0.20%
River Delta Joint Unified,"2,279",2.50%,0.30%,0.60%,0.80%,53.00%,0.40%,34.20%,5.50%,2.70%
Robla Elementary,"2,331",13.70%,0.90%,17.30%,1.50%,48.50%,2.10%,12.40%,3.10%,0.40%
Sacramento City Unified,"45,078",13.90%,0.50%,17.00%,1.40%,41.00%,2.00%,16.40%,7.40%,0.40%
Sacramento County Office of Education,"2,885",49.30%,0.80%,3.10%,1.00%,29.20%,0.90%,7.10%,7.50%,1.10%
San Juan Unified,"50,762",7.00%,0.60%,7.80%,1.00%,25.40%,0.60%,49.70%,7.20%,0.60%
Twin Rivers Unified,"32,284",11.90%,0.70%,11.00%,0.90%,41.60%,1.40%,26.20%,4.50%,1.80%
Aromas - San Juan Unified,"1,017",0.50%,1.10%,0.80%,0.50%,64.00%,0.00%,25.70%,1.50%,6.00%
Bitterwater-Tully Elementary,34,0.00%,0.00%,0.00%,0.00%,29.40%,0.00%,64.70%,5.90%,0.00%
Cienega Union Elementary,29,0.00%,0.00%,0.00%,0.00%,51.70%,0.00%,48.30%,0.00%,0.00%
Hollister,"5,957",0.50%,0.30%,1.60%,0.50%,82.60%,0.30%,11.70%,0.90%,1.70%
Jefferson Elementary,6,0.00%,0.00%,0.00%,0.00%,66.70%,0.00%,33.30%,0.00%,0.00%
North County Joint Union Elementary,728,0.30%,0.00%,0.40%,0.00%,62.00%,0.00%,29.90%,0.70%,6.70%
Panoche Elementary,7,0.00%,0.00%,0.00%,0.00%,85.70%,0.00%,14.30%,0.00%,0.00%
San Benito County Office of Education,21,0.00%,0.00%,0.00%,0.00%,90.50%,0.00%,9.50%,0.00%,0.00%
San Benito High,"3,350",0.50%,0.30%,1.30%,1.30%,75.50%,0.10%,17.60%,1.60%,1.70%
Southside Elementary,205,2.00%,0.00%,0.50%,0.00%,58.00%,0.00%,39.00%,0.00%,0.50%
Tres Pinos Union Elementary,61,0.00%,0.00%,0.00%,0.00%,27.90%,0.00%,68.90%,1.60%,1.60%
Willow Grove Union Elementary,12,0.00%,0.00%,0.00%,0.00%,83.30%,0.00%,16.70%,0.00%,0.00%
Adelanto Elementary,"8,029",19.00%,0.30%,0.70%,0.60%,65.50%,0.70%,6.70%,3.40%,3.00%
Alta Loma Elementary,"5,659",4.50%,0.10%,8.00%,1.60%,49.40%,0.20%,29.90%,5.30%,0.90%
Apple Valley Unified,"14,358",7.70%,0.50%,1.90%,0.50%,51.10%,0.50%,34.70%,3.20%,0.00%
Baker Valley Unified,127,0.00%,0.80%,0.00%,0.00%,84.30%,0.00%,14.20%,0.00%,0.80%
Barstow Unified,"6,129",19.60%,0.70%,0.60%,0.50%,53.80%,1.20%,18.00%,5.50%,0.00%
Bear Valley Unified,"2,238",0.90%,0.30%,0.90%,0.20%,37.10%,0.20%,55.90%,4.40%,0.10%
Central Elementary,"4,219",10.80%,0.10%,5.80%,2.20%,54.70%,0.30%,20.00%,5.00%,1.10%
Chaffey Joint Union High,"23,854",7.40%,0.40%,6.80%,2.10%,64.70%,0.50%,15.30%,2.40%,0.40%
Chino Valley Unified,"27,333",3.70%,0.20%,18.40%,4.80%,55.80%,0.30%,13.70%,2.60%,0.60%
Colton Joint Unified,"20,550",5.20%,0.10%,1.40%,0.70%,86.50%,0.20%,5.00%,0.90%,0.00%
Cucamonga Elementary,"2,359",14.20%,0.30%,2.80%,2.00%,70.10%,0.40%,8.60%,1.60%,0.00%
Etiwanda Elementary,"13,478",8.50%,0.20%,14.20%,4.10%,44.50%,0.30%,20.70%,5.40%,2.00%
Fontana Unified,"35,461",4.90%,0.10%,1.50%,1.10%,87.40%,0.20%,3.80%,1.10%,0.00%
Helendale Elementary,"6,422",4.90%,0.40%,3.60%,1.30%,43.70%,0.30%,38.60%,6.50%,0.70%
Hesperia Unified,"24,216",7.20%,0.30%,1.00%,0.40%,70.30%,0.30%,18.90%,1.50%,0.10%
Lucerne Valley Unified,"10,313",7.10%,0.40%,2.70%,1.20%,44.70%,0.20%,34.20%,6.40%,3.10%
Morongo Unified,"8,005",8.50%,1.00%,1.70%,2.00%,35.00%,1.20%,50.00%,0.00%,0.70%
Mountain View Elementary,"2,625",8.20%,0.10%,5.70%,2.70%,70.20%,0.70%,10.60%,1.00%,0.80%
Mt. Baldy Joint Elementary,87,1.10%,1.10%,8.00%,0.00%,37.90%,0.00%,41.40%,10.30%,0.00%
Needles Unified,967,2.80%,13.30%,0.70%,0.20%,32.40%,0.30%,45.80%,4.10%,0.30%
Ontario-Montclair,"19,286",3.00%,0.80%,2.10%,0.60%,89.20%,0.20%,3.10%,1.00%,0.00%
Oro Grande,"5,501",12.00%,0.90%,0.50%,0.30%,59.60%,0.40%,20.60%,5.10%,0.60%
Redlands Unified,"20,352",6.20%,0.30%,8.40%,2.50%,51.90%,0.40%,25.20%,4.80%,0.30%
Rialto Unified,"24,461",8.30%,0.20%,0.60%,0.40%,86.10%,0.40%,2.80%,1.20%,0.00%
Rim of the World Unified,"2,926",0.60%,0.30%,0.70%,0.00%,40.90%,0.00%,53.70%,3.60%,0.20%
San Bernardino City Unified,"51,330",11.00%,0.30%,1.30%,0.40%,79.30%,0.40%,4.80%,1.60%,1.00%
San Bernardino County Office of Education,"5,680",11.90%,0.70%,1.80%,0.80%,57.00%,0.40%,20.60%,3.30%,3.50%
Silver Valley Unified,"2,014",8.60%,0.80%,1.30%,1.60%,38.60%,2.30%,37.70%,8.40%,0.50%
Snowline Joint Unified,"7,355",4.70%,0.50%,1.10%,0.40%,52.80%,0.20%,31.70%,1.30%,7.30%
Trona Joint Unified,259,8.50%,0.40%,0.80%,0.00%,32.80%,0.40%,52.10%,5.00%,0.00%
Upland Unified,"10,228",7.60%,0.10%,5.40%,1.70%,58.50%,0.40%,22.50%,2.10%,1.70%
Victor Elementary,"12,358",17.80%,1.10%,1.40%,0.80%,64.40%,0.60%,11.80%,2.00%,0.00%
Victor Valley Union High,"11,488",16.70%,0.40%,1.70%,1.00%,67.70%,0.60%,7.40%,3.50%,1.00%
Yucaipa-Calimesa Joint Unified,"9,689",1.50%,0.40%,1.40%,0.60%,45.40%,0.20%,48.80%,1.60%,0.20%
Alpine Union Elementary,"1,532",1.40%,3.70%,0.50%,0.40%,29.60%,0.10%,54.20%,7.30%,2.70%
Bonsall Unified,"2,164",1.50%,5.50%,2.00%,1.60%,37.50%,0.50%,41.50%,8.80%,1.20%
Borrego Springs Unified,"3,088",4.70%,0.50%,0.50%,0.90%,69.70%,0.20%,18.90%,3.90%,0.70%
Cajon Valley Union,"16,732",6.20%,0.20%,3.60%,0.40%,37.80%,0.80%,43.80%,2.60%,4.70%
Cardiff Elementary,632,0.30%,0.00%,1.70%,0.30%,17.70%,0.00%,68.00%,7.10%,4.70%
Carlsbad Unified,"10,863",1.00%,0.30%,5.80%,0.80%,27.60%,0.20%,55.40%,9.00%,0.00%
Chula Vista Elementary,"29,478",3.70%,0.20%,2.40%,9.20%,70.40%,0.30%,9.60%,3.70%,0.50%
Coronado Unified,"2,608",1.00%,0.30%,1.40%,1.80%,22.70%,0.50%,58.10%,8.20%,6.00%
Dehesa Elementary,"9,921",3.00%,0.60%,4.80%,1.00%,27.90%,0.30%,51.60%,8.30%,2.50%
Del Mar Union Elementary,"3,853",1.40%,0.10%,34.30%,1.20%,11.30%,0.10%,45.20%,6.20%,0.20%
Encinitas Union Elementary,"4,918",0.60%,0.40%,4.10%,0.80%,21.50%,0.20%,66.10%,4.60%,1.70%
Escondido Union,"17,944",1.40%,0.20%,2.40%,1.60%,70.00%,0.10%,19.40%,3.70%,1.20%
Escondido Union High,"9,483",1.60%,0.30%,2.80%,1.90%,65.90%,0.10%,24.20%,2.30%,0.90%
Fallbrook Union Elementary,"4,756",2.10%,0.10%,0.70%,0.40%,65.30%,0.30%,26.50%,4.60%,0.00%
Fallbrook Union High,"2,155",1.30%,0.20%,1.10%,0.60%,67.80%,0.30%,25.50%,2.30%,0.90%
Grossmont Union High,"22,021",6.20%,0.80%,2.30%,1.70%,40.20%,0.70%,42.30%,5.40%,0.40%
Jamul-Dulzura Union Elementary,742,3.60%,0.30%,1.10%,0.10%,56.70%,0.10%,32.70%,4.20%,1.10%
Julian Union Elementary,"1,842",3.10%,1.30%,1.80%,0.70%,40.50%,0.20%,45.10%,6.80%,0.40%
Julian Union High,106,0.00%,5.70%,0.90%,0.00%,35.80%,0.00%,50.90%,5.70%,0.90%
La Mesa-Spring Valley,"11,525",7.90%,0.20%,2.50%,2.40%,50.50%,0.50%,27.80%,8.20%,0.00%
Lakeside Union Elementary,"5,077",3.20%,1.70%,1.60%,1.40%,33.10%,0.60%,53.40%,5.00%,0.00%
Lemon Grove,"3,160",15.50%,0.70%,5.30%,1.10%,62.60%,1.10%,8.50%,5.10%,0.00%
Mountain Empire Unified,"4,064",2.50%,2.50%,1.30%,0.50%,49.40%,0.20%,36.80%,5.90%,0.90%
National Elementary,"5,152",1.10%,0.00%,1.70%,8.70%,83.80%,0.40%,2.10%,1.80%,0.40%
Oceanside Unified,"18,984",3.90%,0.30%,1.70%,2.40%,56.40%,1.70%,25.40%,7.00%,1.30%
Poway Unified,"35,663",1.70%,0.10%,22.70%,5.90%,17.30%,0.20%,40.60%,11.30%,0.10%
Ramona City Unified,"5,070",0.70%,0.50%,0.50%,0.30%,41.00%,0.20%,50.80%,5.90%,0.00%
Rancho Santa Fe Elementary,547,0.50%,0.20%,7.10%,0.40%,10.80%,0.00%,73.50%,7.50%,0.00%
San Diego County Office of Education,"6,962",9.00%,0.30%,10.70%,1.50%,37.90%,0.10%,33.60%,6.30%,0.60%
San Diego Unified,"118,523",7.70%,0.30%,8.70%,4.60%,46.70%,0.40%,22.50%,8.00%,1.20%
San Dieguito Union High,"13,001",0.70%,0.20%,17.40%,0.80%,15.70%,0.10%,58.40%,6.60%,0.10%
San Marcos Unified,"19,894",0.10%,1.60%,5.50%,2.30%,45.90%,0.40%,39.30%,4.90%,0.00%
San Pasqual Union Elementary,501,1.20%,0.40%,1.20%,0.60%,30.50%,0.20%,56.90%,7.20%,1.80%
San Ysidro Elementary,"4,419",2.50%,0.10%,0.50%,3.80%,89.00%,0.00%,1.70%,1.60%,0.80%
Santee,"6,482",2.00%,0.30%,2.10%,1.70%,29.10%,0.20%,54.80%,9.90%,0.00%
SBC - High Tech High,"3,428",2.80%,0.50%,2.90%,5.10%,54.90%,0.60%,26.50%,6.70%,0.10%
SBE - Audeo Charter II,244,2.90%,0.80%,3.70%,1.20%,38.90%,0.00%,43.00%,9.40%,0.00%
SBE - Baypoint Preparatory Academy San Diego,151,4.00%,0.00%,4.00%,4.00%,50.30%,0.00%,31.10%,6.60%,0.00%
SBE - College Preparatory Middle,402,6.20%,0.00%,2.20%,2.00%,29.40%,0.70%,51.00%,7.70%,0.70%
SBE - Grossmont Secondary,331,6.90%,0.60%,0.90%,3.00%,58.00%,0.60%,22.40%,6.90%,0.60%
SBE - Sweetwater Secondary,358,2.80%,0.30%,1.10%,2.20%,80.70%,0.30%,5.00%,5.60%,2.00%
SBE - Vista Springs Charter,251,2.40%,0.40%,0.00%,0.40%,62.50%,0.00%,27.50%,6.80%,0.00%
Solana Beach Elementary,"2,720",0.50%,0.10%,26.70%,0.90%,13.20%,0.00%,47.30%,9.00%,2.30%
South Bay Union,"6,446",2.50%,0.10%,0.40%,2.80%,84.30%,0.20%,6.90%,2.70%,0.30%
Spencer Valley Elementary,"3,883",9.20%,0.70%,4.80%,2.70%,43.70%,1.10%,33.60%,4.00%,0.20%
Sweetwater Union High,"38,602",3.00%,0.40%,1.80%,8.70%,70.90%,0.40%,10.40%,4.00%,0.50%
Vallecitos Elementary,187,0.50%,0.00%,0.00%,0.00%,89.80%,0.00%,8.60%,1.10%,0.00%
Valley Center-Pauma Unified,"3,865",0.50%,8.80%,0.90%,0.30%,59.50%,0.00%,24.30%,4.60%,1.00%
Vista Unified,"22,910",2.20%,0.30%,2.00%,1.40%,65.50%,0.60%,22.50%,5.50%,0.10%
Warner Unified,"2,428",3.70%,6.70%,6.80%,1.20%,30.50%,0.10%,40.40%,9.00%,1.60%
San Francisco County Office of Education,299,26.40%,0.30%,11.40%,3.30%,31.10%,1.30%,18.10%,4.30%,3.70%
San Francisco Unified,"58,705",7.40%,0.30%,29.80%,3.80%,31.90%,0.80%,14.40%,6.40%,5.10%
SBE - KIPP Bayview Elementary,147,62.60%,2.70%,0.00%,0.00%,22.40%,2.70%,2.00%,7.50%,0.00%
SBE - The New School of San Francisco,347,6.30%,0.60%,10.40%,1.70%,29.70%,0.30%,44.10%,6.90%,0.00%
Banta Elementary,"1,943",6.00%,0.60%,17.70%,11.80%,38.90%,0.40%,17.70%,6.70%,0.40%
Escalon Unified,"2,974",0.60%,0.20%,1.20%,0.40%,47.80%,0.10%,46.90%,2.00%,0.70%
Jefferson Elementary,"2,236",4.90%,0.50%,17.20%,4.80%,39.30%,1.40%,26.20%,4.90%,0.90%
Lammersville Joint Unified,"6,397",5.50%,1.10%,43.90%,8.50%,16.30%,0.40%,16.50%,5.90%,1.90%
Lincoln Unified,"8,939",11.30%,0.40%,9.90%,3.00%,50.30%,0.80%,19.10%,4.90%,0.20%
Linden Unified,"2,323",0.40%,1.10%,1.50%,0.30%,63.90%,0.50%,30.90%,1.30%,0.00%
Lodi Unified,"30,738",6.70%,0.40%,18.00%,3.50%,46.50%,0.70%,18.70%,3.00%,2.40%
Manteca Unified,"23,660",5.90%,0.40%,9.70%,5.20%,57.10%,1.00%,16.80%,3.80%,0.00%
New Hope Elementary,177,0.60%,0.00%,0.00%,0.60%,88.10%,0.00%,8.50%,2.30%,0.00%
New Jerusalem Elementary,"6,502",10.40%,0.90%,6.50%,2.90%,42.60%,0.80%,29.30%,5.10%,1.60%
Oak View Union Elementary,363,0.30%,0.00%,0.30%,1.40%,49.90%,0.80%,41.60%,5.80%,0.00%
Ripon Unified,"4,728",2.80%,0.30%,5.10%,2.00%,34.40%,0.30%,45.70%,9.10%,0.40%
San Joaquin County Office of Education,"3,995",10.10%,0.70%,5.00%,2.00%,60.80%,0.40%,14.80%,5.10%,1.00%
Stockton Unified,"40,627",10.00%,1.00%,8.70%,3.60%,68.00%,0.50%,4.70%,3.40%,0.10%
Tracy Joint Unified,"15,577",5.50%,0.30%,12.40%,5.40%,53.30%,1.20%,17.40%,4.50%,0.00%
Atascadero Unified,"4,397",1.20%,0.80%,1.00%,1.10%,28.40%,0.10%,62.90%,3.50%,1.00%
Cayucos Elementary,162,0.00%,0.00%,0.00%,0.00%,23.50%,0.00%,67.30%,6.20%,3.10%
Coast Unified,536,0.00%,0.20%,0.20%,0.20%,73.30%,0.00%,22.60%,2.10%,1.50%
Lucia Mar Unified,"9,921",0.60%,0.40%,1.40%,1.10%,47.70%,0.10%,43.50%,4.20%,1.00%
Paso Robles Joint Unified,"6,661",1.20%,0.30%,0.60%,0.20%,56.10%,0.10%,37.90%,2.50%,1.20%
Pleasant Valley Joint Union Elementary,58,0.00%,5.20%,3.40%,0.00%,24.10%,0.00%,60.30%,3.40%,3.40%
San Luis Coastal Unified,"7,491",0.70%,0.30%,3.30%,1.90%,29.40%,0.20%,58.30%,5.70%,0.10%
San Luis Obispo County Office of Education,321,2.50%,0.30%,0.30%,0.00%,73.20%,0.30%,20.60%,2.80%,0.00%
San Miguel Joint Union,899,0.60%,0.40%,0.20%,0.10%,52.70%,0.10%,42.50%,3.10%,0.20%
Shandon Joint Unified,282,1.40%,0.00%,0.00%,0.40%,79.80%,0.40%,17.00%,0.40%,0.70%
Templeton Unified,"2,317",0.20%,0.40%,1.20%,0.10%,24.00%,0.10%,65.20%,8.30%,0.60%
Bayshore Elementary,361,3.30%,0.00%,18.80%,21.10%,41.00%,4.40%,2.80%,8.00%,0.60%
Belmont-Redwood Shores Elementary,"4,152",1.20%,0.10%,31.60%,2.90%,11.70%,0.90%,34.40%,13.80%,3.40%
Brisbane Elementary,474,1.50%,0.00%,20.50%,11.60%,28.30%,0.20%,23.80%,11.00%,3.20%
Burlingame Elementary,"3,387",0.30%,0.10%,26.70%,3.00%,15.60%,0.40%,40.70%,9.20%,3.90%
Cabrillo Unified,"2,934",0.30%,0.00%,1.30%,0.90%,52.20%,0.10%,40.10%,5.00%,0.00%
Hillsborough City Elementary,"1,268",0.50%,0.00%,32.30%,1.90%,4.90%,0.30%,48.30%,11.80%,0.00%
Jefferson Elementary,"6,653",2.20%,0.20%,19.40%,24.90%,36.00%,0.90%,10.80%,5.10%,0.30%
Jefferson Union High,"4,705",1.30%,0.10%,14.90%,28.90%,31.40%,1.00%,14.10%,7.50%,0.80%
La Honda-Pescadero Unified,275,0.00%,0.40%,0.00%,0.70%,62.90%,0.00%,34.50%,1.50%,0.00%
Las Lomitas Elementary,"1,116",0.90%,0.20%,18.30%,0.50%,13.10%,0.20%,53.20%,13.60%,0.00%
Menlo Park City Elementary,"2,781",0.70%,0.00%,13.50%,0.70%,16.70%,1.20%,55.20%,11.40%,0.70%
Millbrae Elementary,"2,238",0.70%,0.10%,46.20%,6.40%,19.70%,2.00%,15.60%,8.30%,0.80%
Pacifica,"3,006",0.90%,0.20%,8.40%,9.00%,26.50%,0.40%,38.90%,15.80%,0.00%
Portola Valley Elementary,491,0.20%,0.20%,6.30%,0.00%,13.80%,0.00%,66.20%,13.00%,0.20%
Ravenswood City Elementary,"2,993",5.30%,0.20%,0.30%,0.20%,83.60%,7.50%,1.10%,1.50%,0.30%
Redwood City Elementary,"8,086",1.10%,0.10%,3.80%,0.80%,70.20%,1.10%,18.80%,3.90%,0.30%
San Bruno Park Elementary,"2,275",1.40%,0.20%,16.00%,9.60%,41.50%,5.10%,15.40%,1.00%,9.90%
San Carlos Elementary,"3,265",0.60%,0.10%,17.50%,1.40%,14.20%,0.50%,49.30%,12.90%,3.50%
San Mateo County Office of Education,248,6.00%,0.00%,9.30%,6.50%,60.90%,2.40%,6.00%,1.60%,7.30%
San Mateo Union High,"9,760",0.80%,0.10%,22.60%,5.20%,31.80%,1.90%,27.50%,10.10%,0.00%
San Mateo-Foster City,"10,969",0.70%,0.10%,25.90%,3.40%,36.60%,2.10%,21.00%,9.40%,0.80%
Sequoia Union High,"10,327",2.40%,0.30%,8.90%,1.40%,45.20%,2.00%,35.00%,4.60%,0.10%
South San Francisco Unified,"8,182",1.10%,0.20%,14.20%,22.70%,47.60%,1.80%,6.40%,6.00%,0.10%
Woodside Elementary,369,2.20%,0.30%,4.30%,0.00%,16.30%,0.80%,64.50%,10.60%,1.10%
Ballard Elementary,128,1.60%,0.00%,0.80%,0.00%,15.60%,0.00%,78.10%,3.90%,0.00%
Blochman Union Elementary,"1,490",1.00%,0.20%,0.80%,0.60%,26.10%,0.20%,61.70%,7.00%,2.30%
Buellton Union Elementary,553,0.50%,0.40%,0.70%,0.00%,49.50%,0.20%,38.50%,5.10%,5.10%
Carpinteria Unified,"2,091",0.10%,0.10%,1.00%,0.30%,74.90%,0.00%,22.00%,1.40%,0.10%
Cold Spring Elementary,178,0.00%,0.00%,1.70%,0.00%,5.60%,0.00%,78.70%,5.10%,9.00%
College Elementary,336,0.90%,2.40%,0.90%,0.00%,46.70%,0.00%,43.20%,5.40%,0.60%
Cuyama Joint Unified,255,0.80%,0.40%,1.20%,0.00%,66.30%,0.00%,27.10%,3.90%,0.40%
Goleta Union Elementary,"3,378",0.60%,0.10%,5.00%,0.90%,46.60%,0.10%,36.30%,7.30%,3.20%
Guadalupe Union Elementary,"1,270",0.40%,0.60%,0.20%,0.30%,95.70%,0.10%,2.20%,0.60%,0.00%
Hope Elementary,775,0.90%,0.40%,3.20%,0.40%,38.10%,0.30%,51.40%,5.40%,0.00%
Lompoc Unified,"9,644",2.20%,0.50%,1.60%,1.30%,68.80%,0.20%,20.70%,4.60%,0.10%
Los Olivos Elementary,155,0.60%,0.60%,0.00%,0.00%,20.60%,0.00%,69.70%,0.60%,7.70%
Montecito Union Elementary,374,0.50%,1.10%,0.50%,0.30%,11.80%,0.00%,72.50%,9.40%,4.00%
Orcutt Union Elementary,"4,842",0.60%,0.60%,1.40%,1.30%,51.00%,0.20%,36.30%,6.00%,2.50%
Santa Barbara County Office of Education,102,0.00%,0.00%,1.00%,1.00%,87.30%,0.00%,8.80%,2.00%,0.00%
Santa Barbara Unified,"14,205",0.70%,0.30%,2.80%,0.50%,59.50%,0.10%,32.60%,2.60%,1.10%
Santa Maria Joint Union High,"8,953",0.60%,0.40%,0.80%,1.50%,87.30%,0.10%,8.00%,0.70%,0.50%
Santa Maria-Bonita,"16,665",0.30%,0.20%,0.30%,1.30%,94.90%,0.10%,2.20%,0.40%,0.20%
