name,total_students,african_american,american_indian_or_alaska_native,asian,filipino,hispanic_or_latino,pacific_islander,white,two _or_more_races,not_reported
Cypress Elementary,"3,540",2.50%,0.20%,37.50%,5.50%,28.20%,0.60%,19.40%,6.10%,0.00%
Fountain Valley Elementary,"6,165",0.60%,0.20%,36.10%,1.40%,18.50%,0.50%,33.70%,7.10%,1.90%
Fullerton Elementary,"12,141",1.40%,0.30%,23.00%,2.20%,51.00%,0.10%,16.20%,5.70%,0.00%
Fullerton Joint Union High,"13,473",1.80%,0.20%,18.50%,3.50%,58.40%,0.30%,13.50%,3.70%,0.10%
Garden Grove Unified,"40,124",0.60%,0.10%,35.40%,1.10%,53.00%,0.40%,6.70%,1.50%,1.20%
Huntington Beach City Elementary,"5,588",0.40%,0.20%,11.10%,0.80%,19.90%,0.30%,54.60%,10.80%,2.00%
Huntington Beach Union High,"15,534",0.90%,0.30%,28.00%,1.30%,28.90%,0.40%,34.90%,4.50%,0.80%
Irvine Unified,"35,660",1.90%,0.10%,48.10%,2.80%,11.70%,0.20%,25.60%,9.00%,0.50%
La Habra City Elementary,"4,537",0.70%,0.10%,1.90%,1.30%,87.90%,0.00%,6.10%,1.20%,0.70%
Laguna Beach Unified,"2,634",0.90%,0.20%,4.90%,1.00%,12.00%,0.00%,71.50%,8.20%,1.40%
Los Alamitos Unified,"9,317",2.50%,0.10%,14.00%,2.80%,27.70%,0.70%,43.00%,8.80%,0.50%
Magnolia Elementary,"5,385",2.80%,0.40%,10.90%,3.00%,71.70%,0.80%,9.20%,1.10%,0.10%
Newport-Mesa Unified,"18,559",0.80%,0.10%,4.80%,0.80%,46.30%,0.50%,41.20%,5.00%,0.50%
Ocean View,"7,337",1.00%,0.30%,14.30%,1.10%,41.00%,0.20%,34.40%,6.50%,1.10%
Orange County Department of Education,"10,001",2.10%,0.20%,10.10%,1.50%,53.80%,0.20%,23.30%,5.20%,3.60%
Orange Unified,"26,943",1.30%,0.20%,9.90%,1.90%,56.60%,0.30%,25.50%,3.20%,1.10%
Placentia-Yorba Linda Unified,"24,296",1.20%,0.20%,17.20%,2.40%,44.20%,0.20%,30.70%,3.90%,0.00%
