,district,students_in_grade_12_20,act_test_takers_20,act_eng_20,act_read_20,act_math_20,act_sci_20,act_comp_over_21_20,act_20_participation,score,education_spend_per_student,avg_household_income,african_american,am_indian_or_alaska_native,asian,filipino,hispanic_or_latino,pacific_islander,white,two_or_more_races,not_reported
155,Las Virgenes Unified,963,282,28.0,27.0,25.0,25.0,0.85,0.29283489096573206,55.45,11420.0,132023.0,0.019,0.005,0.064,0.009000000000000001,0.127,0.001,0.7070000000000001,0.057,0.011000000000000001
157,Lennox,289,189,17.0,18.0,18.0,17.0,0.22,0.6539792387543253,31.31,14978.0,49978.0,0.01,0.001,0.003,0.001,0.943,0.002,0.005,0.0,0.035
158,Long Beach Unified,5944,374,23.0,24.0,23.0,23.0,0.64,0.06292059219380888,22.05,13175.0,65851.0,0.126,0.002,0.07400000000000001,0.032,0.5820000000000001,0.012,0.125,0.043,0.005
159,Los Angeles Unified,41110,6681,18.0,19.0,19.0,19.0,0.32,0.16251520311359766,10.41,15793.0,61375.0,0.076,0.002,0.036000000000000004,0.019,0.742,0.002,0.102,0.016,0.005
160,Lynwood Unified,1033,117,17.0,19.0,17.0,18.0,0.21,0.1132623426911907,38.88,13451.0,52007.0,0.047,0.001,0.002,0.0,0.94,0.002,0.006,0.001,0.0
161,Monrovia Unified,380,56,21.0,23.0,21.0,21.0,0.61,0.14736842105263157,1.61,13518.0,79271.0,0.047,0.002,0.063,0.026000000000000002,0.645,0.001,0.174,0.043,0.0
162,Montebello Unified,2336,236,18.0,19.0,18.0,19.0,0.29,0.10102739726027397,34.43,13993.0,52592.0,0.003,0.002,0.02,0.004,0.953,0.001,0.011000000000000001,0.002,0.005
163,Norwalk-La Mirada Unified,1387,95,19.0,20.0,19.0,20.0,0.32,0.0684931506849315,0.39,13962.0,77957.0,0.023,0.002,0.043,0.027999999999999997,0.797,0.004,0.071,0.019,0.012
165,Palos Verdes Peninsula Unified,972,346,28.0,28.0,27.0,27.0,0.9,0.3559670781893004,89.27,12484.0,151740.0,0.02,0.002,0.27899999999999997,0.021,0.141,0.002,0.42700000000000005,0.09699999999999999,0.012
166,Paramount Unified,1300,39,21.0,21.0,21.0,20.0,0.46,0.03,25.66,13949.0,59304.0,0.077,0.001,0.008,0.004,0.883,0.006,0.01,0.009000000000000001,0.001
167,Pasadena Unified,1400,108,22.0,24.0,21.0,22.0,0.62,0.07714285714285714,12.96,14190.0,86695.0,0.111,0.002,0.054000000000000006,0.019,0.578,0.002,0.191,0.037000000000000005,0.005
168,Pomona Unified,1978,209,18.0,19.0,18.0,19.0,0.28,0.10566228513650151,10.84,15089.0,64578.0,0.04,0.002,0.036000000000000004,0.01,0.865,0.002,0.028999999999999998,0.009000000000000001,0.006999999999999999
169,San Marino Unified,264,63,29.0,29.0,30.0,29.0,0.92,0.23863636363636365,108.59,14406.0,156429.0,0.006999999999999999,0.002,0.586,0.019,0.04,0.001,0.22699999999999998,0.113,0.006
170,Santa Monica-Malibu Unified,849,229,28.0,28.0,26.0,26.0,0.83,0.2697290930506478,48.97,16566.0,101476.0,0.061,0.002,0.062,0.006999999999999999,0.295,0.002,0.495,0.069,0.008
171,South Pasadena Unified,324,68,27.0,27.0,27.0,26.0,0.85,0.20987654320987653,17.16,11279.0,104370.0,0.015,0.001,0.32799999999999996,0.025,0.23199999999999998,0.0,0.249,0.127,0.023
172,Temple City Unified,510,69,28.0,27.0,28.0,27.0,0.88,0.13529411764705881,22.12,11524.0,74057.0,0.005,0.001,0.645,0.018000000000000002,0.223,0.002,0.062,0.04,0.003
173,Torrance Unified,2007,362,26.0,26.0,25.0,25.0,0.82,0.18036870951669157,2.03,11194.0,93597.0,0.040999999999999995,0.001,0.28800000000000003,0.05,0.32,0.004,0.201,0.087,0.006
174,West Covina Unified,1160,55,23.0,23.0,23.0,23.0,0.65,0.04741379310344827,17.01,14780.0,86748.0,0.078,0.004,0.09,0.033,0.6709999999999999,0.004,0.10300000000000001,0.016,0.002
175,Whittier Union High,2932,386,19.0,21.0,21.0,20.0,0.44,0.13165075034106413,9.45,15862.0,75733.0,0.013000000000000001,0.002,0.013999999999999999,0.012,0.892,0.002,0.061,0.002,0.001
176,William S. Hart Union High,4117,591,25.0,26.0,25.0,24.0,0.8,0.14355112946320137,21.78,11989.0,104240.0,0.039,0.002,0.07400000000000001,0.05,0.42200000000000004,0.002,0.364,0.045,0.002
177,Compton Unified,1337,205,16.0,17.0,17.0,16.0,0.13,0.15332834704562454,23.51,15206.0,54613.0,0.193,0.002,0.001,0.0,0.7829999999999999,0.005,0.002,0.004,0.01
179,Rowland Unified,1152,115,21.0,22.0,23.0,22.0,0.55,0.0998263888888889,4.33,13586.0,76914.0,0.027000000000000003,0.001,0.201,0.067,0.6409999999999999,0.003,0.037000000000000005,0.016,0.006999999999999999
180,Walnut Valley Unified,1354,252,29.0,28.0,29.0,28.0,0.94,0.1861152141802068,16.19,11162.0,104237.0,0.013999999999999999,0.0,0.601,0.057999999999999996,0.226,0.004,0.055999999999999994,0.039,0.001
181,San Gabriel Unified,594,53,25.0,27.0,26.0,25.0,0.83,0.08922558922558922,13.16,13559.0,70511.0,0.013999999999999999,0.001,0.46299999999999997,0.019,0.40700000000000003,0.002,0.051,0.023,0.019
183,Manhattan Beach Unified,691,318,29.0,29.0,27.0,27.0,0.92,0.4602026049204052,107.33,14901.0,153023.0,0.011000000000000001,0.001,0.10800000000000001,0.012,0.124,0.001,0.598,0.138,0.006
184,Redondo Beach Unified,791,241,26.0,26.0,24.0,24.0,0.78,0.30467762326169406,28.28,11081.0,113596.0,0.031,0.003,0.107,0.018000000000000002,0.242,0.001,0.446,0.14800000000000002,0.004
187,Alhambra Unified,1805,223,24.0,25.0,25.0,24.0,0.79,0.12354570637119114,20.86,14392.0,60647.0,0.006,0.001,0.501,0.024,0.409,0.001,0.021,0.027000000000000003,0.011000000000000001
188,Wiseburn Unified,468,94,21.0,21.0,20.0,20.0,0.44,0.20085470085470086,30.05,12098.0,109818.0,0.14,0.002,0.045,0.013000000000000001,0.532,0.005,0.163,0.073,0.027000000000000003
194,Madera Unified,1377,259,17.0,19.0,17.0,18.0,0.22,0.18809005083514888,43.45,13001.0,50878.0,0.013000000000000001,0.005,0.012,0.002,0.9059999999999999,0.0,0.051,0.006999999999999999,0.005
196,Chawanakee Unified,142,20,22.0,24.0,21.0,21.0,0.6,0.14084507042253522,37.27,11561.0,62656.0,0.006,0.065,0.015,0.0,0.22899999999999998,0.001,0.603,0.055999999999999994,0.027000000000000003
